"Lead Id","Lead Source","First Name","Last Name",Email,Phone,"Street Line1","Street Line2",Apartment,City,State,Zip,Comments,"Dealer Code","Dealer Name","Model Year",Make,Model,Trim,Vin,"Vehicle Stock","Vehicle Doors","Vehicle Bodystyle","Vehicle Transmission","Vehicle Interior Color","Vehicle Exteriorcolor","Vehicle Preference","Vehicle Image Tag","Vehicle Price","Vehicle Price Comments","Vehicle Option Name","Vehicle Manufacturer Code","Vehicle Weighting","Vehicle Option Method","Vehicle Option Down Payment","Vehicle Option Monthly Payment","Vehicle Option Total Payment","Trade in Year","Trade in Make","Trade in Model","Trade in Vin","Trade in Units","Trade in Unit Value","Finance Balance","Type of Mode","Trade in Zip","Tradein Vehicle Condition","Estimated Owed","Time Frame Description","Time Frame Earliestdate","Time Frame Latest Date","Additional Details","Lead Status","Vehicle Type","Created At","Updated At"
77573ade-25a7-4be2-ac29-d0f08965b548,t3,Ahmad,Makou,biniaminsarfaraz@gmail.com,"402 4504864",,,,,,68154," |  Program Name -National Bonus Cash Amount $2000,  Total Incentives Amount: $2000 | Dealer Discount: $0 | Est. Net Price:55,740  | Prequal Checked",69322,"Alfa Romeo of Omaha",2025,"Alfa Romeo",Giulia,"Giulia Intensa",ZARFANAN7S7692434,,,Sedan,"8-Speed Automatic 8HP50 Transmission",,PXL,,,57740,,,,,,,,,,,,,,,,,,,,,,,uexp-IWML,success,New,"2025-10-26 01:32:02","2025-10-26 01:32:02"
5d266d10-05e8-42fb-a61f-c5aa73b71b37,t3,Bishop,Speeney,bishops008@yahoo.com,"605 5212150",,,,,,68154,"Dealer Discount: $0 | Est. Net Price:57,590  | ",69322,"Alfa Romeo of Omaha",2025,"Alfa Romeo",Giulia,Giulia,ZARFANAN7S7689663,,,Sedan,"8-Speed Automatic 8HP50 Transmission",,PG4,,,57590,,,,,,,,,,,,,,,,,,,,,,,uexp-IWML,success,New,"2025-11-03 13:32:02","2025-11-03 13:32:02"
0a2392dd-ec8f-4547-97d9-688bf73af9e6,ore,Catherine,Zarlengo-Miller,CSUNRUN@AOL.COM,3038298135,,,,,,80104,"Customer is interested to learn more about home delivery.Down Payment: $5963 | Dealer Discount: $0 | Adjusted Capitalized Costs: $53,667 | Annual Mileage: 5000 | Terms:39 | Estimated Monthly Payment: $705 ",69322,,2025,"Alfa Romeo",Tonale,"Tributo Italiano",ZASPATTW6S3088118,,,"Sport Utility","6-Spd Aisin F21-250 PHEV Auto Trans",,PG4,,,59630,,,,,Lease,5963,705,"53,667",2022,Toyota,Highlander,,121000,,,,80104,average,0,,,,auto,success,New,"2025-03-12 00:00:02","2025-03-12 00:00:02"
f96fbb5d-f0fd-41fb-9515-c25df81eb4e2,ore,"Michael ",Montanez,lenier1030@gmail.com,7875674221,,,,,,79938,"Customer is interested to learn more about home delivery.Down Payment: $5490 | Dealer Discount: $0 | Adjusted Capitalized Costs: $49,405 | Terms:72 | Finance Monthly Payment: $793 ",69322,,2024,"Alfa Romeo",Giulia,Veloce,ZARFANBN8R7678213,,,Sedan,"8-Spd Auto 8HP50 Trans",,PXL,,,54895,,,,,Finance,5490,793,"49,405",,,,,,,,,,,,,,,auto,success,New,"2025-03-29 21:05:02","2025-03-29 21:05:02"
f2888c8f-c388-40fa-bd24-f37a8a76238a,t1,Bradley,Olsen,vitersolutions@proton.me,8163438008,,,,,,64034,"Customer is interested to learn more about home delivery.Customer is interested in following Service & Protection plans:-  Cash - multicare plus ultimate-$1260, Cash - extended care premium-$7760 |  |  Program Name -Bonus Cash Amount $2500,  Total Incentives Amount: $2500 | Dealer Discount: $0 | Est. Net Price:89,065  | Control number expired",69322,"Alfa Romeo of Omaha",2024,"Alfa Romeo",Giulia,"Quadrifoglio Supersport",ZARFAMEV7R7690052,,,Sedan,"8-Spd Auto 8HP75 Trans",,PW1,,,91565,,,,,Cash,,,"89,065",,,,,,,,,,,,,,,uexp,success,New,"2025-04-11 18:22:30","2025-04-11 18:22:30"
21653eb3-1a3f-4ccc-ae00-3d4f783d0590,ore,James,Aikman,jamesaikman@mac.com,,,,,,,49460,"Customer is interested to learn more about home delivery.Down Payment: $9223 | Dealer Discount: $0 | Adjusted Capitalized Costs: $83,002 | Terms:72 | Finance Monthly Payment: $1,333 ",69322,,2024,"Alfa Romeo",Giulia,"Quadrifoglio Supersport",ZARFAMEVXR7690272,,,Sedan,"8-Spd Auto 8HP75 Trans",,PXL,,,92225,,,,,Finance,9223,"1,333","83,002",,,,,,,,,,,,,,,auto,success,New,"2025-05-01 02:50:03","2025-05-01 02:50:03"
3a4eca9d-b735-4e06-8f09-225a8e4f2cae,ore,Michael,DeCicco,cofqape@yahoo.com,4074087198,,,,,,68154,"Customer is interested to learn more about home delivery.Type: Finance | MSRP: $92225 | Down Payment: $9223 | Dealer Discount: $0 | Adjusted Capitalized Costs: $83,002 | Terms:72 | Finance Monthly Payment: $1,395  | ",69322,,2024,"Alfa Romeo",Giulia,"Quadrifoglio Supersport",ZARFAMEVXR7690272,,,Sedan,"8-Speed Automatic 8HP75 Transmission",,PXL,,,92225,,,,,Finance,9223,"1,395","83,002",,,,,,,,,,,,,,,auto,success,New,"2025-07-06 11:50:02","2025-07-06 11:50:02"
1834357e-62c3-408b-b874-1de3d0055da0,ore,Johnathon,Petch,detroitdjflash@gmail.com,5862429350,,,,,,48042,"Customer is interested to learn more about home delivery.Type: Cash | MSRP: $60890 | Dealer Discount: $0 | Est. Net Price:60,890  | ",69322,,2025,"Alfa Romeo",Stelvio,"Stelvio Tributo Italiano (Limited Edition)",ZASPAKBN3S7D96409,,,Utility,"8-Speed Automatic 8HP50 Transmission",,PG4,,,60890,,,,,Cash,,,"60,890",,,,,,,,,,,,,,,auto,success,New,"2025-07-09 21:05:02","2025-07-09 21:05:02"
16b3c3d1-3e2c-4e41-b8e6-3a750e12bee6,t3,Isaac,Avalos,Iavalos4256@gmail.com,"531 3759256",,,,,,68107,"User interested in Test Drive at the store on 07/11/2025 at 5:15 PM, Type: Finance | MSRP: $88165 | Down Payment: $0 | Dealer Discount: $0 | Adjusted Capitalized Costs: $88,165 | Terms:72 | Finance Monthly Payment: $1,482  | ",69322,"Alfa Romeo of Omaha",2024,"Alfa Romeo",Giulia,Quadrifoglio,ZARFAMEVXR7689767,,,Sedan,"8-Speed Automatic 8HP75 Transmission",,PRR,,,88165,,,,,Finance,,"1,482","88,165",,,,,,,,,,,,,,,t3-usr-x,success,New,"2025-07-10 20:38:50","2025-07-10 20:38:50"
2e73d955-c68e-43a3-95ce-49850196796c,t3,Isaac,Avalos,hubcap_edit.8c@icloud.com,"531 3758925",,,,,,68117,"User interested in Test Drive at the store on 07/11/2025 at 4:30 PM, Type: Finance | MSRP: $91565 | Down Payment: $9157 | Dealer Discount: $0 | Adjusted Capitalized Costs: $82,408 | Terms:72 | Finance Monthly Payment: $1,385  | ",69322,"Alfa Romeo of Omaha",2024,"Alfa Romeo",Giulia,"Quadrifoglio Supersport",ZARFAMEV7R7690052,,,Sedan,"8-Speed Automatic 8HP75 Transmission",,"Milano White Exterior Paint",,,91565,,,,,Finance,,"1,385","82,408",,,,,,,,,,,,,,,t3-usr-x,success,New,"2025-07-10 20:45:48","2025-07-10 20:45:48"
